Kategorie: Alle Kategorien,,,
,,,
Woche,RTX 4070 Super: (Deutschland),RTX 4080 Super: (Deutschland),RTX 4090: (Deutschland)
2024-03-31,22,11,27
2024-04-07,18,9,28
2024-04-14,16,9,25
2024-04-21,19,9,25
2024-04-28,19,11,26
2024-05-05,19,11,22
2024-05-12,17,9,23
2024-05-19,16,9,21
2024-05-26,16,7,22
2024-06-02,15,9,24
2024-06-09,16,9,22
2024-06-16,15,9,22
2024-06-23,15,8,20
2024-06-30,17,9,21
2024-07-07,18,7,24
2024-07-14,21,10,24
2024-07-21,17,8,22
2024-07-28,18,10,23
2024-08-04,19,11,22
2024-08-11,18,10,27
2024-08-18,24,12,33
2024-08-25,24,13,27
2024-09-01,23,13,28
2024-09-08,24,12,32
2024-09-15,23,17,35
2024-09-22,25,14,34
2024-09-29,26,16,32
2024-10-06,27,18,34
2024-10-13,28,15,33
2024-10-20,28,16,33
2024-10-27,31,16,29
2024-11-03,29,17,36
2024-11-10,37,21,39
2024-11-17,43,24,39
2024-11-24,54,26,45
2024-12-01,38,20,40
2024-12-08,35,18,40
2024-12-15,31,16,39
2024-12-22,39,20,44
2024-12-29,33,18,40
2025-01-05,37,21,100
2025-01-12,25,15,45
2025-01-19,26,15,43
2025-01-26,32,24,57
2025-02-02,35,22,47
2025-02-09,31,17,39
2025-02-16,33,15,32
2025-02-23,26,10,31
2025-03-02,25,11,34
2025-03-09,18,9,24
2025-03-16,18,6,24
2025-03-23,14,7,23
2025-03-30,12,6,20
