ProduktID;MHD;Batch
produkt_0;23.08.2025;970
produkt_1;20.11.2025;250
produkt_2;12.03.2025;116
produkt_3;15.07.2025;765
produkt_4;27.01.2025;70
produkt_5;10.03.2025;447
produkt_6;22.12.2025;804
produkt_7;17.03.2025;124
produkt_8;02.09.2025;900
produkt_9;10.01.2025;601
produkt_10;28.05.2025;316
produkt_11;19.10.2025;701
produkt_12;26.10.2025;564
produkt_13;24.01.2025;826
produkt_14;29.09.2025;134
produkt_15;26.03.2025;83
produkt_16;04.07.2025;304
produkt_17;04.11.2025;598
produkt_18;01.12.2025;305
produkt_19;20.12.2025;542
produkt_20;13.10.2025;475
produkt_21;04.12.2025;780
produkt_22;07.11.2025;504
produkt_23;22.03.2025;384
produkt_24;30.12.2025;634
produkt_25;27.07.2025;985
produkt_26;13.11.2025;997
produkt_27;15.03.2025;206
produkt_28;22.04.2025;298
produkt_29;04.03.2025;147
produkt_30;10.04.2025;787
produkt_31;01.06.2025;372
produkt_32;26.03.2025;529
produkt_33;28.08.2025;882
produkt_34;04.07.2025;928
produkt_35;25.12.2025;180
produkt_36;03.09.2025;306
produkt_37;17.03.2025;454
produkt_38;05.05.2025;269
produkt_39;16.04.2025;760
produkt_40;21.06.2025;138
produkt_41;29.11.2025;413
produkt_42;22.01.2025;435
produkt_43;28.03.2025;731
produkt_44;06.02.2025;303
produkt_45;28.11.2025;766
produkt_46;02.01.2025;887
produkt_47;07.09.2025;802
produkt_48;03.12.2025;294
produkt_49;29.10.2025;152
produkt_50;21.08.2025;382
produkt_51;21.02.2025;398
produkt_52;08.03.2025;234
produkt_53;11.10.2025;703
produkt_54;10.04.2025;669
produkt_55;14.10.2025;339
produkt_56;21.02.2025;859
produkt_57;24.11.2025;103
produkt_58;27.03.2025;652
produkt_59;03.04.2025;945
produkt_60;03.08.2025;410
produkt_61;16.02.2025;410
produkt_62;14.07.2025;712
produkt_63;21.11.2025;472
produkt_64;18.08.2025;375
