ProduktID;MHD;Batch
produkt_0;25.03.2025;462
produkt_1;29.03.2025;392
produkt_2;18.11.2025;594
produkt_3;26.10.2025;468
produkt_4;08.11.2025;309
produkt_5;27.01.2025;945
produkt_6;27.02.2025;686
produkt_7;23.01.2025;731
produkt_8;05.12.2025;568
produkt_9;25.11.2025;503
produkt_10;06.12.2025;489
produkt_11;17.08.2025;287
produkt_12;29.09.2025;890
produkt_13;03.12.2025;357
produkt_14;11.04.2025;309
produkt_15;27.06.2025;101
produkt_16;16.11.2025;481
produkt_17;26.02.2025;363
produkt_18;14.03.2025;279
produkt_19;30.05.2025;437
produkt_20;25.07.2025;423
produkt_21;06.03.2025;202
produkt_22;28.05.2025;707
produkt_23;19.10.2025;896
produkt_24;26.09.2025;123
produkt_25;08.05.2025;415
produkt_26;02.06.2025;777
produkt_27;02.12.2025;459
produkt_28;06.08.2025;210
produkt_29;28.01.2025;669
produkt_30;21.09.2025;457
produkt_31;23.11.2025;275
produkt_32;04.03.2025;241
produkt_33;25.06.2025;231
produkt_34;18.01.2025;644
produkt_35;16.09.2025;337
produkt_36;03.06.2025;122
produkt_37;08.02.2025;435
produkt_38;24.05.2025;807
produkt_39;11.09.2025;483
produkt_40;27.06.2025;732
produkt_41;20.02.2025;646
produkt_42;22.03.2025;968
produkt_43;09.02.2025;615
produkt_44;25.02.2025;377
produkt_45;29.01.2025;155
produkt_46;25.08.2025;808
produkt_47;23.08.2025;421
produkt_48;19.03.2025;177
produkt_49;20.02.2025;375
